pivotID,pubID,topicID,prevalence
t561,1129132234726727680,4,0.024280012
t562,1129145590451908608,2,0.6248651
t563,1129145590451908608,3,0.36307013
t564,1129191939520323585,2,0.322732
t565,1129191939520323585,3,0.66756386
t566,1129230393356562432,1,0.06487523
t567,1129230393356562432,2,0.4573659
t568,1129230393356562432,3,0.4701049
t569,1129244904037785600,2,0.3406947
t570,1129244904037785600,3,0.64724076
t571,1129422836945235969,1,0.31019795
t572,1129422836945235969,2,0.6409267
t573,1129422836945235969,3,0.024595013
t574,1129422836945235969,4,0.024280364
t575,1129456278902837248,3,0.98449033
t576,1129484565993598976,2,0.010383234
t577,1129484565993598976,3,0.96612257
t578,1129484565993598976,4,0.018530209
t579,1129547822708215808,2,0.9658286
t580,1129547822708215808,3,0.015176361
t581,1129547822708215808,4,0.014981697
t582,1129697717968621568,3,0.9770122
t583,1129697717968621568,4,0.012573814
t584,1129786938578407424,2,0.64656466
t585,1129786938578407424,3,0.34459606
t586,1129796387741327361,2,0.019727224
t587,1129796387741327361,3,0.935636
t588,1129796387741327361,4,0.03520575
t589,1129799801682452485,2,0.48949006
t590,1129799801682452485,3,0.5023938
t591,1129863362857263104,3,0.9826039
t592,1129895149247586308,3,0.980195
t593,1129895149247586308,4,0.0108330315
t594,1129978278448631808,2,0.91970164
t595,1129978278448631808,3,0.03566153
t596,1129978278448631808,4,0.03520575
t597,1130189918947426308,2,0.5060584
t598,1130189918947426308,3,0.48643917
t599,1130196981798846464,3,0.98725414
t600,1130283502019260416,2,0.6761931
t601,1130283502019260416,3,0.31174222
t602,1130302371618263040,3,0.9882971
t603,1130466273211703301,3,0.97260946
t604,1130466273211703301,4,0.014982018
t605,1130806381144137735,1,0.9965421
t606,1130896187056381958,3,0.80606145
t607,1130896187056381958,4,0.18994401
t608,1130922640246394881,3,0.98260367
t609,1130994607402115072,2,0.47040153
t610,1130994607402115072,3,0.5198944
t611,1131000810710732800,3,0.9801945
t612,1131000810710732800,4,0.0108331675
t613,1131044707067416577,2,0.9446209
