geoID,geoName,coordinateID
15,Cuauhtémoc,c1346
7,Iztapalapa,c1347
12,Tlalpan,c1348
15,Cuauhtémoc,c1349
16,Miguel Hidalgo,c1350
15,Cuauhtémoc,c1351
7,Iztapalapa,c1352
15,Cuauhtémoc,c1353
13,Xochimilco,c1354
16,Miguel Hidalgo,c1355
12,Tlalpan,c1356
7,Iztapalapa,c1357
15,Cuauhtémoc,c1358
4,Cuajimalpa de Morelos,c1359
12,Tlalpan,c1360
11,Tláhuac,c1361
7,Iztapalapa,c1362
15,Cuauhtémoc,c1363
10,Álvaro Obregón,c1364
15,Cuauhtémoc,c1365
13,Xochimilco,c1366
14,Benito Juárez,c1367
15,Cuauhtémoc,c1368
13,Xochimilco,c1369
5,Gustavo A. Madero,c1370
7,Iztapalapa,c1371
12,Tlalpan,c1372
3,Coyoacán,c1373
10,Álvaro Obregón,c1374
14,Benito Juárez,c1375
7,Iztapalapa,c1376
7,Iztapalapa,c1377
8,La Magdalena Contreras,c1378
7,Iztapalapa,c1379
7,Iztapalapa,c1380
8,La Magdalena Contreras,c1381
4,Cuajimalpa de Morelos,c1382
12,Tlalpan,c1383
15,Cuauhtémoc,c1384
12,Tlalpan,c1385
16,Miguel Hidalgo,c1386
2,Azcapotzalco,c1387
14,Benito Juárez,c1388
12,Tlalpan,c1389
12,Tlalpan,c1390
7,Iztapalapa,c1391
15,Cuauhtémoc,c1392
12,Tlalpan,c1393
10,Álvaro Obregón,c1394
13,Xochimilco,c1395
7,Iztapalapa,c1396
2,Azcapotzalco,c1397
3,Coyoacán,c1398
2,Azcapotzalco,c1399
15,Cuauhtémoc,c1400
5,Gustavo A. Madero,c1401
13,Xochimilco,c1402
15,Cuauhtémoc,c1403
16,Miguel Hidalgo,c1404
13,Xochimilco,c1405
9,Milpa Alta,c1406
15,Cuauhtémoc,c1407
15,Cuauhtémoc,c1408
7,Iztapalapa,c1409
2,Azcapotzalco,c1410
15,Cuauhtémoc,c1411
14,Benito Juárez,c1412
2,Azcapotzalco,c1413
3,Coyoacán,c1414
3,Coyoacán,c1415
11,Tláhuac,c1416
7,Iztapalapa,c1417
12,Tlalpan,c1418
5,Gustavo A. Madero,c1419
12,Tlalpan,c1420
11,Tláhuac,c1421
13,Xochimilco,c1422
7,Iztapalapa,c1423
13,Xochimilco,c1424
3,Coyoacán,c1425
10,Álvaro Obregón,c1426
5,Gustavo A. Madero,c1427
10,Álvaro Obregón,c1428
5,Gustavo A. Madero,c1429
13,Xochimilco,c1430
8,La Magdalena Contreras,c1431
13,Xochimilco,c1432
12,Tlalpan,c1433
11,Tláhuac,c1434
17,Venustiano Carranza,c1435
2,Azcapotzalco,c1436
12,Tlalpan,c1437
11,Tláhuac,c1438
11,Tláhuac,c1439
