pubID,topicQuery,likeCount,replyCount,retweetCount,authorID,dateID,coordinateID
1140650974031298561,tránsito,0,1,0,906094822062043136,d382,c382
1140732356543877121,tránsito,0,1,0,903097695899934725,d383,c383
1141062236133298176,incendio,0,0,0,549601184,d384,c384
1141151084024487938,tránsito,0,1,0,125573742,d385,c385
1141350156228366337,incendio,7,1,4,1091042850618232832,d386,c386
1141695773668782081,tránsito,5,1,11,125529375,d387,c387
1142165884208734208,tránsito,0,1,0,1022534991031488513,d388,c388
1142799101228191745,incendio,0,0,0,1637918732,d389,c389
1143923984120995842,tránsito,1,0,0,96285939,d390,c390
1144221101674782720,incendio,11,0,0,195951901,d391,c391
1144292905600868352,tránsito,0,1,0,907034630095867905,d392,c392
1144331796303101952,tránsito,1,2,0,347392639,d393,c393
1144343588924358656,tránsito,1,1,0,112886276,d394,c394
1144572416594731008,tránsito,0,1,0,907034630095867905,d395,c395
1144617725169479682,tránsito,0,1,0,2859210027,d396,c396
1144721207767420928,tránsito,0,0,0,431807675,d397,c397
1144983545871421441,tránsito,3,0,2,897393928474947584,d398,c398
1145014029750087680,tránsito,0,0,0,907034630095867905,d399,c399
1145242432214306817,tránsito,0,0,0,50045614,d400,c400
1145320121017229312,tránsito,0,0,0,476050170,d401,c401
1145370798980358144,pirotecnia,1,0,1,4504689858,d402,c402
1145527043821469697,tránsito,0,0,0,12125552,d403,c403
1146079321003569152,incendio,3,0,1,23377748,d404,c404
1146441663583346688,tránsito,0,1,0,907034630095867905,d405,c405
1146449149052641281,tránsito,0,0,0,44634359,d406,c406
1146467234967162880,tránsito,0,0,0,163088870,d407,c407
1146845420292726784,tránsito,4,0,6,77650086,d408,c408
1146851970835189761,tránsito,0,0,0,907034630095867905,d409,c409
1147577692402987009,tránsito,0,0,0,347392639,d410,c410
1147662713981689856,incendio,0,0,1,225930210,d411,c411
1147758738981445632,pirotecnia,0,0,0,94227344,d412,c412
1147902006272679936,incendio,1,0,2,55637334,d413,c413
1148121370229972992,tránsito,0,0,0,476050170,d414,c414
1148398518878580737,incendio,1,0,0,550399940,d415,c415
1149014901496700931,tránsito,0,1,0,132654328,d416,c416
1149337029408247809,tránsito,0,3,0,501308161,d417,c417
1150146417236807683,tránsito,0,1,1,887457497883312128,d418,c418
1150379875594694657,incendio,4,1,0,87350793,d419,c419
1150445167473827840,tránsito,0,0,0,149383468,d420,c420
1150898792788459523,tránsito,0,0,0,41166875,d421,c421
1150937036821413889,tránsito,0,0,0,1022534991031488513,d422,c422
1151683553031327744,tránsito,0,0,0,3223437270,d423,c423
1152200699855417344,incendio,7,0,0,293063533,d424,c424
1152312019464466433,tránsito,0,0,0,128365267,d425,c425
1152312155267567619,tránsito,0,0,0,128365267,d426,c426
1152667048125837313,tránsito,0,0,0,128365267,d427,c427
1153010446145925122,tránsito,0,0,1,907034630095867905,d428,c428
1153289631082921984,incendio,6,0,2,195951901,d429,c429
1153290347587473408,incendio,3,0,0,293063533,d430,c430
1153313519015780359,tránsito,0,2,0,907034630095867905,d431,c431
1153323110889771008,tránsito,0,0,0,155355780,d432,c432
1153343043526959105,tránsito,0,0,0,844327546187644934,d433,c433
1153722853948366850,tránsito,3,0,2,140813267,d434,c434
1153729199603146754,tránsito,2,3,0,125912408,d435,c435
1153781399175909377,tránsito,0,2,0,907034630095867905,d436,c436
1154029051465461760,tránsito,0,0,0,211537372,d437,c437
1154247112160415745,incendio,0,0,0,1087400715293769729,d438,c438
1154362927366807552,tránsito,0,2,0,713195828286853120,d439,c439
1154757384251662336,tránsito,0,1,4,2859210027,d440,c440
1155964879221583874,incendio,0,1,0,248048466,d441,c441
1155995320754425859,tránsito,1,1,0,120629573,d442,c442
1156004287375220737,tránsito,0,0,0,1095718880238956544,d443,c443
1156957653169582081,tránsito,0,1,0,2859210027,d444,c444
1157109558793388032,tránsito,2,0,0,2436624984,d445,c445
1157328994204733441,tránsito,0,0,0,1140994916,d446,c446
1157821998455808003,tránsito,3,0,3,917617501554520064,d447,c447
1157837292335243265,tránsito,6,0,2,917617501554520064,d448,c448
1158068241945772034,incendio,0,4,0,360267750,d449,c449
1158376672606818304,tránsito,1,0,0,109281423,d450,c450
1158388069852016640,tránsito,0,0,0,1155980679546593280,d451,c451
1158578350249541633,tránsito,1,0,0,369591226,d452,c452
1158944894674599936,pirotecnia,0,0,0,312143137,d453,c453
1159222360484065283,tránsito,0,0,1,903097695899934725,d454,c454
1159449332246089728,incendio,22,1,11,195951901,d455,c455
1159515797884198914,tránsito,0,0,0,804967627,d456,c456
1159536651003191302,tránsito,0,2,0,109281423,d457,c457
1159951517383909376,incendio,0,0,0,591537255,d458,c458
1160632939941548032,incendio,19,0,12,87350793,d459,c459
1160641545072070656,incendio,1,0,2,145483299,d460,c460
1160994033994543104,incendio,1,1,0,43978762,d461,c461
