coordinateID,geoID,geoName,longitude,latitude
c476,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c477,2,Azcapotzalco,-99.1821069423,19.4853286147
c478,2,Azcapotzalco,-99.1821069423,19.4853286147
c479,2,Azcapotzalco,-99.1821069423,19.4853286147
c480,2,Azcapotzalco,-99.1821069423,19.4853286147
c481,2,Azcapotzalco,-99.1821069423,19.4853286147
c482,15,Cuauhtémoc,-99.259495,19.3863707
c483,10,Álvaro Obregón,-99.246819712,19.336175562
c484,3,Coyoacán,-99.1503763525,19.3266672536
c485,7,Iztapalapa,-99.0567989642,19.3491663204
c486,2,Azcapotzalco,-99.1821069423,19.4853286147
c487,4,Cuajimalpa de Morelos,-99.3045417873242,19.353341559371888
c488,14,Benito Juárez,-99.1611346584,19.3806424162
c489,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c490,2,Azcapotzalco,-99.1821069423,19.4853286147
